index,foundation,project,field,location
144,阿里巴巴公益基金会,北京乐平公益基金会,公益行业发展，三农,北京市
145,阿里巴巴公益基金会,阿里巴巴爱佑童心专项基金,医疗救助,
146,阿里巴巴公益基金会,庐山雅安地震救灾及灾后重建,安全救灾,四川省雅安市
147,阿里巴巴公益基金会,第五届“非公募基金会论坛”,公益行业发展,广东省深圳市
148,阿里巴巴公益基金会,云客服勤工助学项目,教育,
149,阿里巴巴公益基金会,溯源行动,环境,
150,安利公益基金会,春苗营养计划,教育,
151,安利公益基金会,雅安地震捐款,安全救灾,四川省雅安市
152,安利公益基金会,爱心社区,公共服务,全国
153,安利公益基金会,志愿者服务计划,志愿服务,全国
154,安利公益基金会,阳光成长计划,公共服务,
155,安利公益基金会,儿童公益项目资助,公益行业发展,全国
156,安利公益基金会,中国发展研究基金会课题研究项目,科学研究,
157,安利公益基金会,广东农村儿童友好社区创建项目,公共服务,广东省
158,安利公益基金会,社区青少年工作站,公共服务,上海市
159,北京大学教育基金会,学生奖助项目,教育,北京市海淀区
160,北京大学教育基金会,教师发展项目,教育,北京市海淀区
161,北京大学教育基金会,学科建设项目,教育,北京市海淀区
162,北京大学教育基金会,校园建设项目,教育,北京市海淀区
163,北京大学教育基金会,社会公益项目,科学研究,湖南省，云南省，内蒙古自治区
164,北京科技大学教育发展基金会,学生奖助项目,教育,北京市海淀区
165,北京科技大学教育发展基金会,教师发展项目,教育,北京市海淀区
166,北京科技大学教育发展基金会,活动资助项目,教育,北京市海淀区
167,北京科技大学教育发展基金会,学院发展项目,教育,北京市海淀区
168,比亚迪慈善基金会,基础及高等教育资助项目,教育,湖南省，上海市
169,比亚迪慈善基金会,扶贫济困,扶贫助困,安徽省
170,比亚迪慈善基金会,新能源,环境,广东省深圳市
171,比亚迪慈善基金会,医疗及其他临时性救助,医疗救助,
172,传媒大学教育基金会,中国传媒大学MBA学院毕业生活动基金,教育,北京市
173,传媒大学教育基金会,党报党刊研究,文化,北京市
174,传媒大学教育基金会,文化创意产业公共服务平台,文化,北京市
175,传媒大学教育基金会,中国传媒大学第二届大学生创业大赛,创业,北京市
176,传媒大学教育基金会,电视纪录片《世界女子高等教育》,文化,北京市
177,传媒大学教育基金会,“回馈社会”助学项目,教育,北京市
178,传媒大学教育基金会,中央三台奖,教育,北京市
179,传媒大学教育基金会,星光奖学金,教育,北京市
180,传媒大学教育基金会,MBA企业案例大赛,教育,北京市
181,传媒大学教育基金会,《决战黄桥》影视作品创作项目,文化,北京市
182,传媒大学教育基金会,世界大学女校长论坛项目,科学研究,北京市
183,传媒大学教育基金会,媒介音视频实验室建设-张勤,教育,北京市
184,传媒大学教育基金会,MBA学院入学教育活动,教育,北京市
185,传媒大学教育基金会,大顺助研金,科学研究,北京市
186,顶新公益基金会,教育工程,教育,福建省，青海省，内蒙古自治区，四川省，安徽省
187,顶新公益基金会,人文及交流,文化，艺术,北京市，福建省福州市，台湾
188,顶新公益基金会,扶贫赈灾救济,心理健康,甘肃省，青海省，重庆市，山西省
189,海仓慈善基金会,运城海仓学校项目,教育,山西省运城市
190,海仓慈善基金会,老红军、老八路帮扶项目,公共安全,山西省运城市
191,河南大学教育发展基金会,中原证券助学金,教育,河南省
192,河南大学教育发展基金会,蓝天奖学金,教育,河南省
193,河南大学教育发展基金会,馆藏书画修复复制,文化,河南省
194,河南大学教育发展基金会,道兴奖学金,教育,河南省
195,河南大学教育发展基金会,高雅艺术进社区演出活动,艺术,河南省
196,河南大学教育发展基金会,正商奖学金,教育,河南省
197,河南大学教育发展基金会,轩辕种子助学基金,教育,河南省
198,河南大学教育发展基金会,校车项目,教育,河南省
199,河南大学教育发展基金会,龙成救助基金,教育,河南省
200,河南大学教育发展基金会,建业大宏奖助学生活动基金,教育,河南省
201,凯风公益基金会,中国非公募基金会发展论坛项目,公益行业发展,北京市
202,凯风公益基金会,清华凯风学者项目,科学研究,北京市海淀区
203,凯风公益基金会,清华大学凯风发展研究院项目,科学研究,北京市海淀区
204,凯风公益基金会,凯风学者-中英精英教育的比较研究项目,科学研究,
205,凯风公益基金会,中国社会治理指标评价体系,科学研究,
206,凯风公益基金会,社会50人论坛,,
207,凯风公益基金会,新书沙龙项目,文化,
208,凯风公益基金会,研究出版<中国基金会发展报告》项目,公益行业发展,
209,凯风公益基金会,中欧凯风家簇传承研究中心,科学研究,
210,兰州大学教育发展基金会,学生发展项目,教育,甘肃省兰州市
211,兰州大学教育发展基金会,学科发展项目,教育,甘肃省兰州市
212,兰州大学教育发展基金会,社会公益项目,教育,甘肃省兰州市
213,兰州大学教育发展基金会,校园建设项目,教育,甘肃省兰州市
214,鲁迅文化基金会,鲁迅文化论坛,文化,北京市
215,鲁迅文化基金会,鲁迅文化传播,文化,北京市海淀区
216,鲁迅文化基金会,鲁迅青少年文学奖,文化,上海市
217,鲁迅文化基金会,“立人教育”专项活动,教育,
218,鲁迅文化基金会,鲁迅故乡项目—鲁迅与越文化,文化,浙江省绍兴市
219,鲁迅文化基金会,鲁迅家庭大相簿,文化,北京市
220,湖南省老龄事业发展基金会,湖南省敬老爱老助老主题教育活动,公共服务,湖南省
