name,jingzichan_x,zhichu_x,shouru_x,feiyong_x
浙江千手慈善基金会,8540328.37,0.574290781,0.489407772,0.574290781
浙江千训爱心慈善基金会,30768263.04,1.365068492,1.419477555,1.364878008
浙江大学宁波理工学院教育发展基金会,28289723.18,0.137471254,0.159433483,0.137471254
浙江大学教育基金会,4319142448,0.116450376,0.298808807,0.116450376
浙江天景生公益基金会,19209774.82,0.192437918,0.566992784,0.189155696
浙江敦和慈善基金会,301787243.2,0.702995043,1.177328497,0.702995043
浙江正泰公益基金会,217218071.7,0.221055486,0.188837424,0.221055486
浙江永强慈善基金会,1722176.36,2.538125073,2.717571469,2.538125073
浙江泰隆慈善基金会,3960149.48,0.637977749,0.498292559,0.637977749
浙江湖畔大学创业研究基金会,2009209.46,5.060224313,5.064807937,5.060224313
浙江省人民教育基金会,96678386.99,0.235683887,0.251771195,0.236032331
浙江省体育基金会,39927875.28,0.460064972,0.825183871,0.460064972
浙江省北京师范大学南湖附属学校教育基金会,16146641.94,0.106260731,0.370639237,0.106260731
浙江省发展侨务事业基金会,8950409.46,0.339805389,0.391426492,0.339805389
浙江省娃哈哈慈善基金会,9073534.32,5.928335751,5.724745018,5.928335751
浙江省寅幸慈善基金会,16840885.96,0.231299918,0.041913898,0.231472361
浙江省扶贫基金会,49723947.81,0.508416035,0.755254392,0.508416035
浙江省李书福资助教育基金会,69131642.22,0.10048833,0.536107222,0.10048833
浙江省杭州宋都公益基金会,39169456.86,0.030584543,0.009620884,0.030584543
浙江省网易慈善基金会,30258155.63,0.42881157,0.426397882,0.428856128
浙江省老年事业发展基金会,56124143.2,0.292339009,0.335869648,0.292339009
浙江省阳光教育基金会,39832405.86,0.349331057,0.499780144,0.349957592
浙江省革命老区发展基金会,36927564.58,0.237440243,0.315901865,0.237440243
浙江西子慈善基金会,2612614.62,0.534814331,0,0.534814331
浙江青田之家公益基金会,58959825.94,0.148106679,0.113597755,0.148106679
浙江馥莉慈善基金会,13645398.51,0.618347936,1.615375583,0.618347936
浙江马云公益基金会,105050332.9,0.062542515,1.024461827,0.062542515
海仓慈善基金会,50019514.46,0.083048919,0.082208804,0.083063143
海南成美慈善基金会,101344935,0.383311564,0.4239637,0.385498775
海南改革发展研究基金会,33266279.4,0.198146793,0.157590793,0.206903746
海南省李惠智教育基金会,6151765.77,0.106845378,0.23536607,0.106989883
海南省残疾人基金会,36207419.25,1.314421126,1.873377199,1.314421126
海门文明村爱心基金会,8286799.51,0.137961043,0.218372216,0.162795721
淮阴工学院教育发展基金会,56125169.7,0.491688053,0.243208663,0.115203436
深圳壹基金公益基金会,1233104756,0.452584254,0.693893003,0.451841472
深圳市TCL公益基金会,8562588.32,6.021574904,4.54780217,4.746526542
深圳市博时慈善基金会,9999916.97,1.048833022,0.756052512,1.048833022
深圳市同心慈善基金会,78240758.6,0.475294873,0.966934805,0.475294873
深圳市志愿服务基金会,44838414.8,0.302790382,0.418469701,0.302790382
深圳市朱树豪纪念慈善基金会,663599.44,11.00738788,11.84168403,4.419993483
深圳市欣旺达慈善基金会,4300874.58,0.93914774,1.209056415,0.892500813
深圳市石门坎教育公益基金会,2883160.44,0.104983079,0.411299865,0.104983079
深圳市精锐教育基金会,-22273.71,-92.77483993,-86.36877557,-92.77483993
深圳市红树林湿地保护基金会,17630556.89,0.643661764,0.647111804,0.643661764
深圳市综研软科学发展基金会,86639971.78,0.093705741,0.032931953,0.079744321
深圳市绿色低碳发展基金会,17374928.28,0.531446033,0.395269554,0.42397984
深圳市绿色基金会,43526974.57,0.761132217,0.348771863,0.761132217
深圳市老龄事业发展基金会,14313343.04,0.027582003,0.091548241,0.027551961
深圳市荣超公益基金会,20473247.15,0.024422115,0.048638265,0.02610602
深圳市警察基金会,779423003.2,0.073754154,0.243054266,0.073937256
深圳市郑卫宁慈善基金会,11480420.63,1.450415231,1.786716632,1.466464254
深圳市雅昌艺术基金会,6163434.52,0.147702254,0.193954231,0.146717045
深圳市青少年发展基金会,63778599.69,0.529252579,0.466198149,0.529252579
清华大学教育基金会,12782356407,0.1658834,0.447823648,0.1658834
温州大学教育发展基金会,75619301.71,0.086952388,0.229591318,0.086952388
温州市实验中学教育发展基金会,37188069.96,0.149782498,0.081980047,0.149782498
温州市永乐科技奖励医疗救助基金会,12740789.99,0.21832793,0.223740852,0.218431181
湖北大学教育发展基金会,74031961.34,0.129770193,0.297087532,0.130322339
湖北工业大学教育发展基金会,78450239.51,0.106889717,0.371491995,0.106889717
湖北省体育基金会,10851044.22,0.1218222,0.287614001,0.21810429
湖北省妇女儿童发展基金会,90089380.85,0.099085345,0.205577284,0.099085345
湖北省宜昌一中教育发展基金会,13930578.74,0.18123766,0.182656187,0.18123766
湖北省青年创业就业基金会,13002684.97,0.366533539,0.343275605,0.264698075
湖南弘慧教育发展基金会,77311540.36,0.214317601,0.583401328,0.214316006
湖南省中南林业科技大学教育基金会,13601930.96,0.099207977,0.015599382,0.099311719
湖南省妇女儿童发展基金会,37759770.74,0.298805531,0.386490059,0.298907091
