基金会名称,净资产,总支出,总收入,费用合计,label
宁夏麦丽燕基金会,14254584.92,4679507.78,4688727.65,4679507.78,0
宁波市善园公益基金会,20986925.64,811499.92,1798425.56,811499.92,2
宁波市海曙区公益组织发展基金会,6934080.08,5023838.44,6039997.94,4893115.94,1
宁波诺丁汉大学教育发展基金会,106714783.8,6154818.88,40291470.4,6154818.88,4
宁波鄞州银行公益基金会,343382534.3,47141438.51,57471117.46,54806575.32,6
安利公益基金会,195080464.3,184888227.1,138697072.8,183191813.5,9
安徽天徽慈善基金会,3931849.1,102281,100440.88,102281,2
安徽李恩三慈善基金会,6086152.21,1764158.12,1824540.77,1764158.12,0
安徽省中小学幼儿教师奖励基金会,25833702.01,2744521.75,3420970.86,2566521.75,2
安徽省体育事业发展基金会,17694742.36,5223897.2,6645645.37,5224127.2,0
安徽省儿童少年基金会,19081033.04,9421785.69,10959835.32,9456278.05,5
安徽省青年创业就业基金会,24741930.01,8195479.53,7524701.59,8195479.53,0
安徽道德建设基金会,18516348.09,4124981.27,9888060.64,4121302.27,4
安徽金牛公益基金会,5474021.69,2285023.56,2377951.89,2285023.56,0
安徽韩再芬黄梅艺术基金会,51232648.14,5335894.32,7676799.46,5482234.32,2
安徽黄山公益基金会,4480917.72,570026.79,170000,570026.79,2
宝钢教育基金会,197428815.3,36367550.88,7033335.49,-104172.67,2
山东省中国海洋大学教育基金会,55427944.82,16285495.6,28256616.49,16286407.1,7
山东省体育基金会,117469188.5,822432.5,11451053.46,822432.5,2
山东省儿童少年福利基金会,13853515.93,1637415.96,1782544.16,1637415.96,2
山东省友芳公益基金会,56523632.17,3339080.95,30526728.59,3339080.95,4
山东省彩虹援助基金会,25269357.72,2804686.5,4661640.11,2804686.5,6
山东省普觉公益基金会,7305195.27,4249707.62,5072174.02,4249707.62,5
山东省老龄事业发展基金会,13298024.43,4716745.9,4460853.24,4716745.9,0
山东省青年创业就业基金会,19322377.01,4592958.13,2509989.27,4592958.13,6
山东英才学院教育发展基金会,14018080.05,11438980.67,13614945.35,11438980.67,1
山西省创业就业基金会,37054020.07,2369126.2,502369.26,402460.2,2
山西省妇女儿童发展基金会,36818989.17,14976645.07,27742571.97,14981221.76,7
巨人慈善基金会,45968529.08,4729873.15,50698402.23,4729873.15,3
常州宝林慈善基金会,14866890.06,889950.55,3931318.53,889950.55,6
常州工程职业技术学院教育发展基金会,52079535.05,5851432,2463842.95,5851432,2
常熟理工学院教育发展基金会,59430124.96,36778287.9,25061174.45,42179939.9,9
广东省一心公益基金会,41022471.21,13931812.61,29909146.5,13931812.61,7
广东省东风日产阳光关爱基金会,3314540.01,16705486.08,17237068.73,16797394.8,8
广东省中山大学教育发展基金会,692757405.9,242160644,385260884.9,242160496.1,7
广东省丹姿慈善基金会,6708234.03,3490508.1,5987564.07,3493752.55,7
广东省人口基金会,48632302.81,29407195.04,30267434.59,29407195.04,5
广东省何享健慈善基金会,391807306.2,79092519.41,367996264.4,79822489.41,3
广东省依依关爱儿童基金会,4012515.33,1008223.47,975125.96,1008223.47,0
广东省保利地产和谐文化基金会,9564246.72,1829917.8,1737365.53,1829917.8,6
广东省利海绿色基金会,335140.85,3448769.51,3162964.12,3449117.98,8
广东省千禾社区公益基金会,22391724.56,33232162.22,39842632.69,33236115.26,8
广东省华南农业大学教育发展基金会,96554625.87,29373393.08,57760016.04,29373393.08,7
广东省华南理工大学教育发展基金会,591712754.8,70909030.01,141333119.8,71058346.05,6
广东省华商慈善基金会,5934103.66,160090.73,134727.66,160090.73,2
广东省华美教育慈善基金会,78197906.71,7569815.64,702110.12,5136699.64,2
广东省卓越慈善基金会,7668848.94,2929871.43,18866,2929871.43,0
广东省南方阅读公益基金会,6228031.87,1896920.57,4046146,1897654.33,7
广东省合生珠江教育发展基金会,23833272.29,70790874.5,62910576.89,70862160.21,8
广东省同心圆慈善基金会,7239205.75,804437.57,4580725.99,930130.5,4
广东省唯品会慈善基金会,12071442.85,29108397.79,29238839.43,29108397.79,8
广东省妇女儿童基金会,86741491.52,50528634.22,43658300.87,50719931.13,5
广东省尚东公益基金会,81791.67,8341386.49,8366727.25,8341386.49,8
广东省山海源慈善基金会,9800606.72,8922794.46,8796736.88,8922794.46,1
广东省崇善乐慈善基金会,6028133.31,4049743.46,4027435.85,4050150.96,5
