name,paiming,score,target
中国地质大学(武汉)教育发展基金会,1,100,2
哈尔滨师范大学教育发展基金会,348,49.6,1
山东省中国海洋大学教育基金会,202,62.8,1
黑龙江大学教育发展基金会,384,47.2,1
黑龙江省体育发展基金会,700,15.2,0
安徽韩再芬黄梅艺术基金会,337,50.35,1
长安大学教育基金会,193,63.86,1
甘肃妇女儿童发展基金会,453,44.34,1
青海妇女儿童发展基金会,538,39.76,0
江汉大学教育发展基金会,348,49.6,1
北京中国国家博物馆事业发展基金会,44,87.6,2
北京金融街慈善基金会,51,84.8,2
苏州公安大病特困救助基金会,675,24,0
连云港正大天晴爱心基金会,720,6.4,0
安利公益基金会,1,100,2
上海华信公益基金会,167,68,1
长春工程学院教育基金会,533,40.27,0
石家庄市志愿服务基金会,364,48.8,1
北京华彬文化基金会,59,82.4,2
北京爱它动物保护公益基金会,33,89.6,2
浙江大学宁波理工学院教育发展基金会,59,82.4,2
中南大学教育基金会,70,80,2
云南华商公益基金会,710,11.2,0
北京中央音乐学院教育基金会,53,84,2
云南君仁博爱基金会,600,33.6,0
广东省方圆公益基金会,364,48.8,1
广东省保利地产和谐文化基金会,348,49.6,1
广东省唯品会慈善基金会,368,48.6,1
河北石家庄二中教育发展基金会,348,49.6,1
温州市实验中学教育发展基金会,256,56.4,1
浙江泰隆慈善基金会,216,60.8,1
浙江省革命老区发展基金会,218,60.4,1
吴江盛虹爱心基金会,348,49.6,1
苏州和合文化基金会,170,67.2,1
广东省山海源慈善基金会,1,100,2
宁夏麦丽燕基金会,506,41.93,0
台州市老年事业发展基金会,216,60.8,1
江西师范大学教育发展基金会,697,16.4,0
亿利公益基金会,128,72.8,2
永恒慈善基金会,239,57.6,1
河南大学教育发展基金会,5,98.4,2
宁波鄞州银行公益基金会,1,100,2
海南成美慈善基金会,1,100,2
淮阴工学院教育发展基金会,661,25.05,0
广东省执信教育发展基金会,593,34.65,0
广东省广州中医药大学教育发展基金会,179,65.63,1
江苏省扬州中学教育发展基金会,364,48.8,1
北京市戈友公益援助基金会,127,73.04,2
青岛大学教育发展基金会,348,49.6,1
首都师范大学教育基金会,25,91.6,2
四川省体育基金会,455,44.23,1
四川桃花源生态保护基金会,1,100,2
四川资阳五月阳光教育基金会,284,54.4,1
福建省泉州第五中学教育基金会,348,49.6,1
湖北大学教育发展基金会,191,63.9,1
浙江千训爱心慈善基金会,1,100,2
呼伦贝尔市扶贫基金会,364,48.8,1
上海仁德基金会,1,100,2
吉林省康乃尔公益基金会,348,49.6,1
陕西省青年创业就业基金会,721,5.6,0
上海明德公益基金会,216,60.8,1
上海思麦公益基金会,1,100,2
广东省华商慈善基金会,348,49.6,1
广东省依依关爱儿童基金会,364,48.8,1
阿里巴巴公益基金会,1,100,2
重庆西南大学教育基金会,76,78.8,2
甘肃省兰州市城关区文化产业发展基金会,303,52.86,1
贵州省同心光彩事业基金会,70,80,2
湖南省宁乡一中教育基金会,550,38.91,0
云南省关心下一代基金会,348,49.6,1
湖南省湖湘文化基金会,713,10,0
贵州省妇女儿童发展基金会,210,61.6,1
大连市妇女儿童发展基金会,291,53.6,1
江苏元林慈善基金会,222,60,1
北京中金公益基金会,68,80.4,2
深圳市雅昌艺术基金会,48,85.6,2
北京市阳光保险爱心基金会,175,66.17,1
甘肃兴华青少年助学基金会,620,30.4,0
辽宁省辽宁大学教育基金会,348,49.6,1
内蒙古乌拉特后旗盛安爱心济困基金会,364,48.8,1
东台市阳光助残基金会,123,73.6,2
北京启明星辰慈善公益基金会,235,58,1
北京感恩公益基金会,61,81.69,2
东风公益基金会,222,60,1
浙江敦和慈善基金会,1,100,2
温州大学教育发展基金会,68,80.4,2
湖北工业大学教育发展基金会,414,45.78,1
广东省潮商公益基金会,364,48.8,1
河北省佛教慈善基金会,239,57.6,1
昆山市党员关爱暨帮扶困难群众基金会,322,51.2,1
北京京安公益基金会,116,74.41,2
深圳市红树林湿地保护基金会,202,62.8,1
深圳市TCL公益基金会,47,86,2
青海省玉树州困难职工帮扶基金会,675,24,0
深圳市朱树豪纪念慈善基金会,136,72,2
鲁迅文化基金会,43,88,2
中国海油海洋环境与生态保护公益基金会,100,76,2
宁波诺丁汉大学教育发展基金会,243,57.2,1
浙江省寅幸慈善基金会,273,55.2,1
广西民族大学教育基金会,710,11.2,0
增爱公益基金会,97,76.4,2
思利及人公益基金会,4,98.8,2
北京电影学院教育基金会,477,43.2,1
上海汤臣慈善基金会,582,35.6,0
石河子大学教育基金会,400,46.4,1
新疆维吾尔自治区新勇教育基金会,384,47.2,1
安徽黄山公益基金会,364,48.8,1
北海天宁慈善基金会,364,48.8,1
北京尚善公益基金会,1,100,2
北京怡海公益基金会,190,64,1
云南省妇女儿童发展基金会,239,57.6,1
榆林学院教育发展基金会,210,61.6,1
武汉市社会组织发展基金会,700,15.2,0
浙江青田之家公益基金会,239,57.6,1
宁夏回族自治区关心下一代基金会,348,49.6,1
深圳市志愿服务基金会,1,100,2
广东省广雅教育发展基金会,348,49.6,1
中兴通讯公益基金会,113,75.2,2
福建省同心慈善基金会,1,100,2
上海海事大学教育发展基金会,169,67.6,1
上海医学创新发展基金会,218,60.4,1
深圳市欣旺达慈善基金会,75,79.2,2
河南省华夏历史文明传承创新基金会,675,24,0
吉林省体育事业发展基金会,348,49.6,1
安徽省体育事业发展基金会,384,47.2,1
江苏言恭达文化基金会,721,5.6,0
北京市壹嘉壹慈善基金会,62,81.6,2
北京中国青年政治学院教育基金会,51,84.8,2
山东省友芳公益基金会,210,61.6,1
山东英才学院教育发展基金会,203,62.4,1
青岛农业大学教育发展基金会,184,64.8,1
长沙市体育发展基金会,364,48.8,1
广东省崇善乐慈善基金会,31,90.4,2
广东省财新公益基金会,611,32,0
重庆市武隆县扶贫基金会,336,50.4,1
广东省鸿发慈善基金会,348,49.6,1
广西壹方慈善基金会,1,100,2
北京健康长城公益基金会,348,49.6,1
广东省谢汉才慈善基金会,364,48.8,1
深圳市绿色低碳发展基金会,377,47.9,1
安徽李恩三慈善基金会,72,79.6,2
北京联想控股公益基金会,258,56,1
福建省人口福利基金会,364,48.8,1
福建省正荣公益基金会,1,100,2
广东省尚东公益基金会,348,49.6,1
顺丰公益基金会,1,100,2
重庆大学教育发展基金会,10,96.4,2
兰州大学教育发展基金会,10,96.4,2
江西省体育发展基金会,721,5.6,0
资阳市关心下一代基金会,364,48.8,1
雅安市关心下一代基金会,246,56.98,1
江苏国信企业发展研究基金会,384,47.2,1
北京凌盛爱心公益基金会,126,73.2,2
北京语言大学教育基金会,2,99.6,2
北京永青农村发展基金会,619,30.8,0
河南省福兴儿童公益基金会,203,62.4,1
山东省普觉公益基金会,218,60.4,1
山东省体育基金会,629,28.8,0
广东省一心公益基金会,30,90.53,2
北京市永源公益基金会,1,100,2
广东省明德幸福文化教育基金会,1,100,2
攀枝花市关心下一代基金会,180,65.6,1
广西吕贻标爱心基金会,677,23.2,0
重庆光彩事业基金会,348,49.6,1
安徽道德建设基金会,348,49.6,1
安徽金牛公益基金会,348,49.6,1
济南大学教育发展基金会,172,66.8,1
常州宝林慈善基金会,421,45.48,1
重庆市青年志愿服务基金会,195,63.6,1
浙江省北京师范大学南湖附属学校教育基金会,1,100,2
西安科技大学教育基金会,46,86.4,2
河北省妇女儿童发展基金会,348,49.6,1
绵阳市关心下一代基金会,364,48.8,1
深圳市精锐教育基金会,384,47.2,1
北京永真公益基金会,12,95.2,2
北京萤火虫爱心公益基金会,68,80.4,2
广东省丹姿慈善基金会,1,100,2
郑州市嵩山文明研究基金会,348,49.6,1
广东省南方阅读公益基金会,541,39.5,0
苏州明德公益基金会,258,56,1
浙江中国计量学院教育基金会,75,79.2,2
广东省慧灵智障人士扶助基金会,159,69.12,1
新疆生产建设兵团青年创业增收基金会,675,24,0
杭州市公羊会公益基金会,539,39.62,0
宁波市海曙区公益组织发展基金会,86,77.2,2
遂宁市关心下一代基金会,348,49.6,1
西昌市关心下一代基金会,364,48.8,1
凉山州关心下一代基金会,364,48.8,1
山西省妇女儿童发展基金会,203,62.4,1
深圳市同心慈善基金会,375,48,1
北京彩虹公益基金会,141,71.13,2
深圳市荣超公益基金会,677,23.2,0
北京天使妈妈慈善基金会,1,100,2
海南省残疾人基金会,1,100,2
北京三一公益基金会,3,99.2,2
广东省何享健慈善基金会,1,100,2
南昌市青少年发展基金会,1,100,2
南昌市汇仁教育基金会,364,48.8,1
浙江省体育基金会,1,100,2
北京达理公益基金会,336,50.4,1
上海大学教育发展基金会,364,48.8,1
上海诺亚公益基金会,291,53.6,1
泸州市关心下一代基金会,596,34.26,0
浙江西子慈善基金会,322,51.2,1
泉州向善救助基金会,304,52.8,1
武汉市石门峰慈善基金会,384,47.2,1
浙江馥莉慈善基金会,304,52.8,1
浙江省杭州宋都公益基金会,291,53.6,1
上海瑞华慈善基金会,304,52.8,1
广东省烛光教育发展基金会,364,48.8,1
深圳市石门坎教育公益基金会,459,44.05,1
武汉善之源公益基金会,714,9.6,0
洪泽县爱心助学基金会,384,47.2,1
上海荣昶公益基金会,291,53.6,1
四川喜马拉雅慈善基金会,290,53.72,1
浙江天景生公益基金会,291,53.6,1
北京绿色阳光环保公益基金会,348,49.6,1
广州农商银行太阳公益基金会,284,54.4,1
湖南践行国学公益基金会,364,48.8,1
德阳市关心下一代基金会,269,55.34,1
北京京东公益基金会,109,75.58,2
四川省索玛慈善基金会,284,54.4,1
福建省安发高益槐科技教育发展基金会,336,50.4,1
广东省同心圆慈善基金会,364,48.8,1
北京阳光未来艺术教育基金会,336,50.4,1
北京市光明慈善基金会,291,53.6,1
上海叔同深渊科学技术发展基金会,627,29.2,0
上海至美公益基金会,562,37.63,0
上海王正国创伤医学发展基金会,667,24.6,0
上海科技大学教育发展基金会,314,52,1
上海乐三兰馨教育发展基金会,322,51.2,1
浙江马云公益基金会,7,97.6,2
武汉大学姚梅镇法学基金会,336,50.4,1
巨人慈善基金会,250,56.8,1
北京白求恩公益基金会,15,94.4,2
北京市银杏公益基金会,1,100,2
广东省广铝公益基金会,291,53.6,1
